vi_index,autumn_parameter,predictor,n,pearson_r,p_value
NDVI,EOS90,leaf_out_10,291,0.4853462605875591,1.328581261399281e-18
NDVI,EOS90,leaf_out_50,291,0.5825362779012189,7.743685988392176e-28
NDVI,EOS90,leaf_out_90,291,0.6560127309155512,3.446056675311052e-37
NDVI,EOS90,growing_season_length,291,0.3578169711684043,3.2365362810404197e-10
NDVI,EOS90,total_gpp_growing_season,280,0.013920366498612804,0.8166145173360253
NDVI,EOS90,gpp_sos10_to_solstice,228,-0.3238134455915252,5.795376590558798e-07
NDVI,EOS90,gpp_solstice_to_eos10,270,0.21892414677906877,0.0002893322588035218
NDVI,EOS90,gpp_solstice_to_eos90,223,0.3567666586491256,4.275138640598259e-08
NDVI,EOS90,total_reco_growing_season,280,0.008823107034916733,0.8831468432977214
NDVI,EOS90,mean_radiation_growing_season,291,-0.2785367191751424,1.3868199953280485e-06
NDVI,EOS90,mean_temperature_growing_season,291,0.20993148478224502,0.00031093583294875774
NDVI,EOS90,photoperiod_at_EOS90,301,-0.6820166039553979,1.5826820999840184e-42
NDVI,EOS50,leaf_out_10,291,0.44466502272690717,1.5551751324535525e-15
NDVI,EOS50,leaf_out_50,291,0.5608947854450002,1.6318954449508392e-25
NDVI,EOS50,leaf_out_90,291,0.6269586051367866,3.422920693748907e-33
NDVI,EOS50,growing_season_length,291,0.4394201115391547,3.6176845770851495e-15
NDVI,EOS50,total_gpp_growing_season,280,0.04022041061941123,0.5026813856294754
NDVI,EOS50,gpp_sos10_to_solstice,228,-0.34360344150444555,1.0222298968541391e-07
NDVI,EOS50,gpp_solstice_to_eos10,270,0.2369593598837068,8.434177484215768e-05
NDVI,EOS50,gpp_solstice_to_eos90,223,0.27179194165091325,3.895145766331654e-05
NDVI,EOS50,total_reco_growing_season,280,0.04274663508753488,0.47620851036527484
NDVI,EOS50,mean_radiation_growing_season,291,-0.3116385769892823,5.6648045927518815e-08
NDVI,EOS50,mean_temperature_growing_season,291,0.21160343633111645,0.0002775506043439635
NDVI,EOS50,photoperiod_at_EOS90,301,-0.6420063568192258,2.2754391236265376e-36
NDVI,EOS10,leaf_out_10,291,0.3048717113201696,1.125693702664541e-07
NDVI,EOS10,leaf_out_50,291,0.4958138085126109,1.8430131060773022e-19
NDVI,EOS10,leaf_out_90,291,0.5658626435580404,4.9467497473919463e-26
NDVI,EOS10,growing_season_length,291,0.37409130965473936,4.251018879673036e-11
NDVI,EOS10,total_gpp_growing_season,280,0.010791748871877716,0.8573269267587926
NDVI,EOS10,gpp_sos10_to_solstice,228,-0.335908179021396,2.0363289666741024e-07
NDVI,EOS10,gpp_solstice_to_eos10,270,0.14307166499604967,0.01866708672376004
NDVI,EOS10,gpp_solstice_to_eos90,223,-0.023828190911895315,0.7234278440862573
NDVI,EOS10,total_reco_growing_season,280,0.03986221499226431,0.5064966471427764
NDVI,EOS10,mean_radiation_growing_season,291,-0.25368243783887134,1.1827468384388531e-05
NDVI,EOS10,mean_temperature_growing_season,291,0.229922407979733,7.543388864633028e-05
NDVI,EOS10,photoperiod_at_EOS90,301,-0.4867500833227035,2.604060602873471e-19
NDVI,senescence_kinetic_i,leaf_out_10,304,0.1696647331977024,0.0030017059169681125
NDVI,senescence_kinetic_i,leaf_out_50,304,0.19145903797547337,0.0007920881690454625
NDVI,senescence_kinetic_i,leaf_out_90,304,0.24189661901349582,2.0104671549785608e-05
NDVI,senescence_kinetic_i,growing_season_length,291,-0.033078363571391545,0.5741161751515591
NDVI,senescence_kinetic_i,total_gpp_growing_season,280,0.06987583145615162,0.2438406284833325
NDVI,senescence_kinetic_i,gpp_sos10_to_solstice,236,0.0017439141420180632,0.9787402558831992
NDVI,senescence_kinetic_i,gpp_solstice_to_eos10,270,0.09041394663825073,0.13839444590126282
NDVI,senescence_kinetic_i,gpp_solstice_to_eos90,223,0.1913179345831838,0.0041377465753780355
NDVI,senescence_kinetic_i,total_reco_growing_season,280,0.04680379453694118,0.4353312106454234
NDVI,senescence_kinetic_i,mean_radiation_growing_season,291,-0.0928062741524359,0.11416329828165117
NDVI,senescence_kinetic_i,mean_temperature_growing_season,291,-0.006486309499581511,0.9122721151558593
NDVI,senescence_kinetic_i,photoperiod_at_EOS90,301,-0.1663211020073734,0.0038068474712023895
NIRv,EOS90,leaf_out_10,336,0.4120696544921476,3.327044150005397e-15
NIRv,EOS90,leaf_out_50,336,0.6063423374904238,4.117337402218053e-35
NIRv,EOS90,leaf_out_90,336,0.7054762032162564,7.100608408071004e-52
NIRv,EOS90,growing_season_length,336,0.5046439641295274,4.127658607606156e-23
NIRv,EOS90,total_gpp_growing_season,321,-0.16333967217725137,0.0033377452797983165
NIRv,EOS90,gpp_sos10_to_solstice,298,-0.55321475406987,2.7332425421937934e-25
NIRv,EOS90,gpp_solstice_to_eos10,307,0.07312400116047038,0.20134795450001472
NIRv,EOS90,gpp_solstice_to_eos90,259,0.2455453197355377,6.500132925338847e-05
NIRv,EOS90,total_reco_growing_season,321,-0.14992607733271335,0.007126097958918918
NIRv,EOS90,mean_radiation_growing_season,336,0.04534962669863497,0.40733025950439083
NIRv,EOS90,mean_temperature_growing_season,336,0.3791384507229477,6.283429362787969e-13
NIRv,EOS90,photoperiod_at_EOS90,340,-0.6830475006519678,4.781506307252598e-48
NIRv,EOS50,leaf_out_10,336,0.3935695425506029,6.789597711563832e-14
NIRv,EOS50,leaf_out_50,336,0.5621880154721184,2.1657318976527588e-29
NIRv,EOS50,leaf_out_90,336,0.6502899190397617,9.051295052691207e-42
NIRv,EOS50,growing_season_length,336,0.6037982449218601,9.30398313833616e-35
NIRv,EOS50,total_gpp_growing_season,321,-0.10065874678499195,0.07170429049508986
NIRv,EOS50,gpp_sos10_to_solstice,298,-0.5556924761545534,1.5128204159284936e-25
NIRv,EOS50,gpp_solstice_to_eos10,307,0.1446577280675868,0.011160596846429706
NIRv,EOS50,gpp_solstice_to_eos90,259,0.1916305473565258,0.0019493369261787672
NIRv,EOS50,total_reco_growing_season,321,-0.09063846197807551,0.10503383356058707
NIRv,EOS50,mean_radiation_growing_season,336,-0.00846801191545397,0.8771007627651576
NIRv,EOS50,mean_temperature_growing_season,336,0.3864262322042211,2.0706741368754635e-13
NIRv,EOS50,photoperiod_at_EOS90,340,-0.578766997874844,8.554389177208939e-32
NIRv,EOS10,leaf_out_10,336,0.34195376393846133,1.195357137778241e-10
NIRv,EOS10,leaf_out_50,336,0.5140066129030197,4.7190287855774574e-24
NIRv,EOS10,leaf_out_90,336,0.5827624573577501,6.001016868510713e-32
NIRv,EOS10,growing_season_length,336,0.5734167135849617,9.166846227199872e-31
NIRv,EOS10,total_gpp_growing_season,321,-0.07210636288134564,0.19756160908391568
NIRv,EOS10,gpp_sos10_to_solstice,298,-0.5372364961183732,1.1041022724315319e-23
NIRv,EOS10,gpp_solstice_to_eos10,307,0.14587014398771647,0.010493514726531136
NIRv,EOS10,gpp_solstice_to_eos90,259,0.0002765425837437073,0.9964661772414136
NIRv,EOS10,total_reco_growing_season,321,-0.05612037781330601,0.31617606512142443
NIRv,EOS10,mean_radiation_growing_season,336,-0.014014510892836625,0.7979929468842446
NIRv,EOS10,mean_temperature_growing_season,336,0.3826180445490245,3.711225833932503e-13
NIRv,EOS10,photoperiod_at_EOS90,340,-0.42723252501101605,1.6177167225415765e-16
