vi_index,reduced_model,full_model,df,chi2,p_value
NDVI,A_environment_only,B_environment_plus_leafout,1,2.405845855316329,0.12088276921294414
NDVI,A_environment_only,C_environment_plus_splitgpp,2,110.26480405636084,1.1384187107631666e-24
NDVI,B_environment_plus_leafout,D_environment_plus_leafout_plus_splitgpp,2,111.41985314579188,6.389785833574278e-25
NDVI,C_environment_plus_splitgpp,D_environment_plus_leafout_plus_splitgpp,1,3.5608949447473606,0.05915583727112608
NDVI,A_environment_only,D_environment_plus_leafout_plus_splitgpp,3,113.8256990011082,1.647745442522848e-24
NIRv,A_environment_only,B_environment_plus_leafout,1,8.310770337514441,0.00394106725015255
NIRv,A_environment_only,C_environment_plus_splitgpp,2,122.50142557143545,2.5069947502104997e-27
NIRv,B_environment_plus_leafout,D_environment_plus_leafout_plus_splitgpp,2,116.2962514175897,5.57943049329123e-26
NIRv,C_environment_plus_splitgpp,D_environment_plus_leafout_plus_splitgpp,1,2.1055961836686947,0.1467611330091765
NIRv,A_environment_only,D_environment_plus_leafout_plus_splitgpp,3,124.60702175510414,7.853886819257245e-27
