site_id,year,vi_index,n_obs,method,r2,rmse,corr,vmin,vmax,S,greenup_kinetic_i,A,senescence_kinetic_i,leaf_out_10,leaf_out_50,leaf_out_90,EOS10,EOS50,EOS90
BE-Dor,2020,NDVI,13,double_logistic,0.9283957112306924,0.025845353936734393,0.9637937769209214,0.7297309935092918,1.0463756905918529,254.70151849558215,0.06554232402941233,211.77248962519263,0.9939331475105734,169.05090208177023,193.82968702337428,203.11329535474704,303.0,303.0,303.0
BE-Dor,2020,EVI,13,double_logistic,0.7246705868139681,0.04588843506388226,0.8513960001425313,0.4066699570148121,0.5811696614696853,77.54087847302807,0.4435212223939579,170.9374198912002,0.10176376427695923,72.58565988505757,77.53833883882025,82.48246432047542,192.53650227269594,170.95135108721547,149.4154000053575
BE-Dor,2020,NIRv,13,double_logistic,0.7969804989972097,0.02485811071326005,0.89411641506703,0.1863362178561081,0.306191569976619,77.87080591123954,0.12902767104845939,171.87498360349935,0.10078365009062831,60.868508038249345,77.74506567345018,94.22111545510039,193.78327385651122,172.06667191294943,150.98991337930346
BE-Dor,2022,NDVI,27,double_logistic,0.3655349689715558,0.10583792325546987,0.659056446438541,0.7028664855575963,0.4242122903206315,194.3358152654248,0.4789584434656721,373.4261204923037,4.94120758586915,,,,198.92397381373482,194.335820460696,189.74758349459813
BE-Dor,2022,EVI,27,double_logistic,0.6249660610330368,0.07765820155630916,0.8104021764654824,0.31385669075357353,1.0224649165029709,111.96052900285235,0.040138248289638724,152.27738298075437,0.055067516770935854,52.39347151617617,87.22034289466723,112.88409623957222,197.79388333174953,165.2044264998694,142.79621277658535
BE-Dor,2022,NIRv,27,double_logistic,0.6817153179861534,0.04338798351604596,0.8372799766098153,0.1516534108674472,0.5742663473237809,108.70038334728522,0.05510392192942117,143.33220781971164,0.05654043213991297,60.624013473686496,91.78678813477117,112.82467118740787,193.9982766856636,160.00700366471784,138.76220920701053
BE-Dor,2023,NDVI,17,double_logistic,0.34869019271383006,0.04000846128919047,0.6302398365834356,0.6763977316260348,0.828249774616658,76.79017260781066,0.015533061950378473,154.29347264645406,0.10623613933670957,37.203797145113136,71.22530455437753,105.97730949729159,171.56747107689097,154.8452724882624,138.88535875117927
BE-Dor,2023,EVI,17,double_logistic,0.6294567305337684,0.030177370590894516,0.8075923371039847,0.4828115173512012,0.7784021810640013,138.16361736220577,0.030403652129098444,164.03324849434165,0.09201695307177589,54.13853397593999,97.85759057718468,125.60056367289884,264.0,165.73529423875846,151.05731891794684
BE-Dor,2023,NIRv,17,double_logistic,0.747723566060708,0.018177833502642366,0.8758308752895393,0.22924625252376687,0.3186939548588787,93.65646383122875,0.16802716804763743,166.96271704886647,0.256091453028315,80.57300449292754,93.64294990668222,106.6651692443608,175.54775962044968,166.97164153218893,158.42656590707182
BE-Maa,2018,NDVI,14,double_logistic,0.8679721147664672,0.019340296585066728,0.9317254737721368,0.5857500683840713,0.8864705120110603,127.24240691103037,0.8948091288739501,115.45452977165941,0.025276782938850537,37.0,127.24405517900118,129.48319811432958,240.4856571808061,171.84577506580976,140.47475549623056
BE-Maa,2018,EVI,14,double_logistic,0.9421987115579498,0.01116049304615894,0.9707099912162699,0.22086593030608304,0.41517080748714735,135.0387912065138,0.12766159370586974,217.20004631893326,0.022485659451225493,119.80056591334224,134.38095365582868,147.95966588499326,308.3163210706808,236.26496963429003,184.38360586508705
BE-Maa,2018,NIRv,14,double_logistic,0.9104958616563998,0.006546035528846957,0.9551753898676204,0.08271163334270405,0.14580108436015296,150.42532986762194,1.8819605292792645,264.78642490365365,0.02970204991534804,149.26988083930294,150.42498556479623,151.58273247992398,321.70123615471414,262.82486159071715,199.75853649575097
BE-Maa,2022,NDVI,23,double_logistic,0.9136187353226081,0.02115599155340124,0.9559934806931,0.6365853528520714,0.930224272005104,136.10037579783443,0.08274867214670505,85.00928670645223,0.02005853713085943,1.0,1.0,157.04827562728212,296.06975335400557,227.13793302576212,192.9862575230232
BE-Maa,2022,EVI,23,double_logistic,0.9811399974893721,0.008067147925499677,0.9905724596885307,0.2586314002279943,0.5779414153318349,139.76852786751164,0.05615428406669467,183.71766586449877,0.02060564185475838,1.0,136.14232508491258,159.70803826575636,311.0110044211006,242.49816242406695,199.66021074376857
