site_id,year,vi_index,n_obs,method,r2,rmse,corr,vmin,vmax,S,greenup_kinetic_i,A,senescence_kinetic_i,leaf_out_10,leaf_out_50,leaf_out_90,EOS10,EOS50,EOS90,solstice_doy,growing_season_length,total_gpp_growing_season,total_reco_growing_season,mean_radiation_growing_season,mean_temperature_growing_season,gpp_sos10_to_solstice,gpp_solstice_to_eos10,gpp_solstice_to_eos90,photoperiod_at_EOS90
BE-Dor,2020,NDVI,13,double_logistic,0.9283957112306924,0.0258453539367343,0.9637937769209214,0.7297309935092918,1.0463756905918529,254.70151849558212,0.0655423240294123,211.77248962519263,0.9939331475105734,169.05090208177023,193.82968702337428,203.11329535474704,303.0,303.0,303.0,173,109.17031297662572,815.1928700000001,990.01189,163.10919402985073,15.72079104477612,53.1372,777.6348700000001,777.6348700000001,9.550104321949503
BE-Dor,2020,NIRv,13,double_logistic,0.7969804989972097,0.02485811071326,0.89411641506703,0.1863362178561081,0.306191569976619,77.87080591123954,0.1290276710484593,171.87498360349937,0.1007836500906283,60.86850803824935,77.74506567345018,94.2211154551004,193.7832738565112,172.06667191294943,150.98991337930346,173,94.32160623949925,1418.2408599999999,1122.9489,202.78796240601505,11.467218045112782,1222.9666799999998,210.85338,,15.852834684332121
BE-Dor,2022,NIRv,27,double_logistic,0.6817153179861534,0.0433879835160459,0.8372799766098153,0.1516534108674472,0.5742663473237809,108.70038334728522,0.0551039219294211,143.33220781971164,0.0565404321399129,60.624013473686496,91.78678813477116,112.82467118740789,193.9982766856636,160.00700366471784,138.76220920701053,172,68.22021552994669,1366.40463,1146.3080800000002,213.53502255639094,11.639375939849625,1100.38664,277.24549,,15.387301701880558
BE-Dor,2023,NIRv,17,double_logistic,0.747723566060708,0.0181778335026423,0.8758308752895393,0.2292462525237668,0.3186939548588787,93.65646383122876,0.1680271680476374,166.96271704886647,0.256091453028315,80.57300449292754,93.64294990668222,106.6651692443608,175.54775962044968,166.97164153218893,158.42656590707182,172,73.3286916255067,1006.08811,813.31235,212.24876842105266,11.939568421052634,988.26401,25.21325,,16.0480765851579
BE-Maa,2018,NDVI,14,double_logistic,0.8679721147664672,0.0193402965850667,0.9317254737721368,0.5857500683840713,0.8864705120110603,127.24240691103036,0.8948091288739501,115.4545297716594,0.0252767829388505,37.0,127.24405517900118,129.48319811432958,240.4856571808061,171.84577506580976,140.47475549623056,172,44.60171988680858,446.79246682999997,464.10355699999997,187.32518137254903,13.397397058823529,274.88924503,176.1502318,,15.551692229350502
BE-Maa,2018,NIRv,14,double_logistic,0.9104958616563998,0.0065460355288469,0.9551753898676204,0.082711633342704,0.1458010843601529,150.42532986762194,1.8819605292792645,264.78642490365365,0.029702049915348,149.26988083930294,150.42498556479623,151.58273247992398,321.70123615471414,262.82486159071715,199.75853649575097,172,112.39987602592092,465.2497608,470.55120999999997,172.5441976744186,15.93291860465116,122.73120099999998,346.7655698,89.28345000000002,15.74987941134492
BE-Maa,2022,NDVI,23,double_logistic,0.913618735322608,0.0211559915534012,0.9559934806931,0.6365853528520714,0.930224272005104,136.10037579783443,0.082748672146705,85.00928670645223,0.0200585371308594,1.0,1.0,157.04827562728212,296.0697533540056,227.13793302576207,192.9862575230232,172,226.13793302576207,838.452164,827.9200960000001,155.98673986486486,12.501206081081081,408.81608,436.55116399999997,133.8705,15.986858354449668
BE-Maa,2022,NIRv,23,double_logistic,0.9792996290554818,0.0041532029866628,0.9896034998662936,0.1070427184730407,0.2600852462635197,139.0512857490743,0.0594719778594494,175.44447812583465,0.0186748589385087,1.0,136.8774880508568,159.75529886720682,314.176077665612,243.92909334401264,199.83076798524053,172,107.05160529315583,875.798554,876.530906,150.72812738853503,12.545608280254777,408.81608,473.897554,160.35639,15.747058861959822
BE-Maa,2023,NDVI,16,double_logistic,0.9176331305806722,0.0201417435331991,0.958565579967611,0.5158649556820871,0.68252135060908,148.2129748784279,0.0715981078818807,291.4506456597826,1.334637037052078,117.54878422017217,148.21568402976013,178.89222485148588,,,,172,,,,,,239.54238999999995,,,
BE-Maa,2023,NIRv,16,double_logistic,0.6778179843217758,0.0189923452223478,0.9730214640366348,0.1213755763272559,0.0853349099662933,296.8593447851325,0.8631042140212929,146.2473228332678,0.407994830196178,140.86156678571962,146.24732030324077,151.6333442291219,278.8777475979676,278.19528060841344,276.33092901435685,172,131.94796030517267,711.0162799999999,616.18843,209.5654347826087,17.90440579710145,157.79050999999998,558.65719,551.90626,11.16747872175737
BE-Maa,2024,NDVI,15,double_logistic,0.7796344163183366,0.0176920478653588,0.8850269330654398,0.5636678087407535,0.7808594127359016,156.68506398352116,0.7889386415162387,288.6811523453951,0.0240121201308178,153.98672505935184,156.68755872144277,159.398530113903,304.2979567413938,263.189553229843,201.820011361507,173,106.50199450840023,848.7586719999999,726.3991599999999,169.52903311258277,16.10262251655629,127.1381,725.285182,232.37271,15.6671199840551
BE-Maa,2024,NIRv,15,double_logistic,0.9640801815424642,0.0059746810746463,0.9824833181251694,0.0935427258313256,0.3508206361348857,159.8408168789526,0.0459342650304906,222.08799862014504,0.0250158103916729,153.15857239268618,166.00867444605552,183.91322631417012,297.680448960107,254.81701061064095,218.9469884006552,173,88.80833616458543,834.186982,705.2066499999999,174.69435416666667,16.287465277777777,127.1381,710.713492,357.69573,14.82767738502159
BE-Maa,2025,NDVI,23,double_logistic,0.841063888834791,0.0295141173883094,0.9185032550100276,0.6173854502349514,0.920680443826771,136.37546555618593,0.0632522879340769,120.26450873082103,0.0127175078318471,-7.0,136.71550923619046,161.01655524276913,334.8308824074643,256.32943285952075,206.430503397824,172,119.6139236233303,904.6985421999999,888.2114509999999,147.10535029940118,11.73986526946108,370.2446102,540.866872,196.53852,15.466027270272114
BE-Maa,2025,NIRv,23,double_logistic,0.938072138551057,0.0072973293587967,0.9688961974665152,0.1036137215515591,0.2587230231933367,143.68390832170368,0.0491860676608972,205.0648229618695,0.0179283843850165,107.79332029529432,139.10341426121457,166.6285662182076,333.7854659082954,262.26364051416294,213.27465767161095,172,123.16022625294838,817.19408,752.1802299999999,170.87057079646019,14.747473451327433,283.56363999999996,540.04338,230.38496,15.131706224722153
CA-TP3,2023,NDVI,12,double_logistic,0.9741580011691668,0.016960355348365,0.987026896135174,0.5483694662310311,0.8060869429982567,144.7368244205593,0.1514051426570756,305.21995778030504,0.0993401250086767,130.2243748625887,144.73528333249692,159.2407244513621,303.90701246322897,294.6774650963263,276.0066821237841,172,149.94218176382935,1440.49977,805.9654,239.62764739884392,17.619531791907516,339.28224,1110.79926,976.1010299999999,11.393754954895623
CA-TP3,2023,NIRv,12,double_logistic,0.991545394991422,0.0044098982160503,0.9959709841653548,0.1122358072441668,0.2366124647355319,139.43251408313307,0.1562289891301528,290.5582902979006,0.056643740456445,125.35172366213236,139.39499489195398,153.31582547599447,300.3704183835025,279.9795932455282,245.83768452544595,172,140.5845983535742,1460.97099,808.8816400000001,244.2245142857143,17.660457142857144,371.17125999999996,1099.38146,728.91841,12.881930567539051
CN-HaM,2013,NDVI,14,double_logistic,0.9905179883830086,0.0175784443563298,0.9953350688321562,0.212943427083872,0.8390911807681893,163.1469618926134,0.0618628490931973,269.2647967575667,0.0476406720174489,128.3555072163242,160.5099264400369,188.2289906482497,302.0605074321237,269.76118127013245,237.0711641550006,172,109.25125483009555,1105.4255481,908.212274,224.8247873563218,7.337540229885058,213.62610310000002,901.7263849999999,604.99718,13.082662656059808
CN-HaM,2013,NIRv,14,double_logistic,0.995702584637395,0.0039862401916602,0.9978540197938168,0.0496777803398985,0.2553863040043943,169.17525532660963,0.0633334063584493,257.6588596984212,0.0653745237875858,134.1232113457438,166.163345447282,192.73014659561176,290.0112268850831,260.21358971431624,234.5767083173443,172,94.05024426703423,1076.9121240000002,881.1283699999999,226.59278846153845,8.26976282051282,210.603444,876.23562,572.6085900000002,13.178727569951091
CN-HaM,2014,NDVI,14,double_logistic,0.9887529332447752,0.0221273489613841,0.9946975061716152,0.2199043921555572,0.7755639331707962,154.74404115082834,0.0814850679457425,275.3129106875822,0.0601955675580919,127.4822335613418,154.060763105859,178.74758486631947,295.1148794418389,271.2670041967744,240.74338413514263,172,117.2062410909154,1079.030917,1002.7484999999999,224.41981547619045,6.941059523809524,184.75018400000002,903.282373,735.99742,12.938878569104537
CN-HaM,2014,NIRv,14,double_logistic,0.9961732979209376,0.0043785545050636,0.9981269479869757,0.0457378239611431,0.232443993960984,163.8466295422836,0.0732187812636654,259.399703337214,0.072787114274486,133.04816793676798,162.2937334737314,187.7638916035118,285.77553907061593,259.95323321401884,234.93187208499705,172,97.65949974028743,1064.475129,970.59951,227.2599407894737,7.542894736842105,180.79770900000003,892.67906,707.7795900000001,13.165136252502815
DE-Gri,2015,NDVI,17,double_logistic,0.7560178133984795,0.0593700120563499,0.8746095512658462,0.5463342831720714,0.8031690902796851,109.71039685725889,0.5409343996949229,308.6441428303406,0.1099826047152875,105.64668219571789,109.71040254758223,113.77373007138534,328.56110951003865,308.63184245730906,288.6593290394628,172,198.92143990972681,1326.5233899999998,1191.2658959999999,174.36462331838567,12.899843049327353,600.1984600000002,736.6042299999999,664.7014599999998,10.37022892859626
DE-Gri,2015,NIRv,17,double_logistic,0.8494890821530743,0.0257700140989397,0.92332826239903,0.1377790142707508,0.2804564930467956,109.38790228828776,0.9063350667756316,302.353641722638,0.1370796359710058,106.96077695052776,109.38786621280504,111.81469297669952,318.3793739367196,302.35295059339927,286.3239654139288,172,192.96508438059425,1311.3600199999998,1164.3962460000002,180.9307688679245,13.265646226415095,596.38667,725.2526499999999,661.1723099999998,10.519248057845102
DE-Gri,2018,NIRv,14,double_logistic,0.8020844055226002,0.0319279252040006,0.8999756270157048,0.1898180688579961,0.3508350315191227,120.91709137723817,0.2283655172619399,165.34889823487708,0.1143337335301526,111.08837026990594,120.47821730229644,128.84937234701235,185.1846435767548,166.43060806962276,150.48050280369395,172,45.95239076732632,608.1001699999999,476.28001000000006,232.54394594594595,15.357189189189189,565.0444000000001,46.358,,15.93355310430032
DE-Gri,2019,NDVI,13,double_logistic,0.7766584332472556,0.0417589677804959,0.8815462652149367,0.6903639360930897,1.025649237617793,76.1534387956897,2.9691149681365587,50.01712214824589,0.0179202104237004,37.0,76.15342054036509,76.87671202263836,219.936552919456,130.3648356108171,87.60286055103896,172,54.211415070452006,1165.520325,965.4864250000002,192.9855136612022,11.315060109289616,880.5729050000001,288.24078,,12.420970166830621
DE-Gri,2019,NIRv,13,double_logistic,0.8999672559106627,0.0186679005984128,0.9490930511404084,0.1806386132137971,0.5592715846734203,106.55119151907654,0.0787892873665174,119.63741956939832,0.0225373736044842,37.0,105.88290481255444,123.4021020329788,256.81924739442576,190.6355419891621,154.7839620842282,172,84.75263717660766,1414.208605,1221.5669050000001,191.7791318181818,12.257495454545454,880.5729050000001,536.92906,,16.06219591905886
DE-Gri,2022,NIRv,15,double_logistic,0.7413353716174722,0.0275252133614411,0.8629980248803004,0.2136330254694333,0.5300381708127221,112.43492461027247,0.7322961797367121,115.71700796443076,0.032951115632082,61.0,112.43332051772838,115.05935468425294,207.21296769093615,151.902490362789,125.63930538636237,172,39.46916984506062,1042.41411477,836.572203,211.00614285714286,11.366496598639456,838.59466477,203.81839836999998,,14.801557029675552
DE-Gri,2024,NDVI,14,double_logistic,0.9522263816614068,0.0186560441354199,0.9761601672443596,0.5620609445922929,1.1509051419546763,99.99408938059996,0.0373134211489127,199.02350186748188,0.0136760315386565,51.87292562644696,93.82584145193952,130.88336832590358,339.997442171033,257.3082837666438,193.6861585752389,173,163.48244231470426,1741.2654810000001,1675.98177,157.8536076388889,12.07142361111111,924.350647,820.2196540000001,106.49874999999999,15.960358159893332
