site_id,year,n_growing_season_days,passed,failed_variables,GPP_NT_VUT_REF_frac_bad,GPP_NT_VUT_REF_max_consecutive_bad_days,NEE_VUT_REF_frac_bad,NEE_VUT_REF_max_consecutive_bad_days,RECO_NT_VUT_REF_frac_bad,RECO_NT_VUT_REF_max_consecutive_bad_days
BE-Dor,2011,245,True,,0.0,0,0.0,0,0.0,0
BE-Dor,2012,245,True,,0.0,0,0.0,0,0.0,0
BE-Dor,2013,245,True,,0.0,0,0.0,0,0.0,0
BE-Dor,2014,245,True,,0.0,0,0.0,0,0.0,0
BE-Dor,2015,245,True,,0.0,0,0.0,0,0.0,0
BE-Dor,2016,245,True,,0.0,0,0.0,0,0.0,0
BE-Dor,2017,245,True,,0.0,0,0.0,0,0.0,0
BE-Dor,2018,245,True,,0.0,0,0.0,0,0.0,0
BE-Dor,2019,245,True,,0.0,0,0.0,0,0.0,0
BE-Dor,2020,245,True,,0.0,0,0.0,0,0.0,0
BE-Dor,2021,245,True,,0.0,0,0.0,0,0.0,0
BE-Dor,2022,245,True,,0.0,0,0.0,0,0.0,0
BE-Dor,2023,245,True,,0.0,0,0.0,0,0.0,0
BE-Dor,2024,245,True,,0.0,0,0.0,0,0.0,0
BE-Maa,2016,245,True,,0.0,0,0.0,0,0.0,0
BE-Maa,2017,245,True,,0.0,0,0.0,0,0.0,0
BE-Maa,2018,245,True,,0.0,0,0.0,0,0.0,0
BE-Maa,2019,245,True,,0.0,0,0.0,0,0.0,0
BE-Maa,2020,245,True,,0.0,0,0.0,0,0.0,0
BE-Maa,2021,245,True,,0.0,0,0.0,0,0.0,0
BE-Maa,2022,245,True,,0.0,0,0.0,0,0.0,0
BE-Maa,2023,245,True,,0.0,0,0.0,0,0.0,0
BE-Maa,2024,245,True,,0.0,0,0.0,0,0.0,0
BE-Maa,2025,245,True,,0.0,0,0.0,0,0.0,0
CA-Ca1,1997,245,True,,0.0,0,0.0,0,0.0,0
CA-Ca1,1998,245,True,,0.0,0,0.0,0,0.0,0
CA-Ca1,1999,245,True,,0.0,0,0.0,0,0.0,0
CA-Ca1,2000,245,True,,0.0,0,0.0,0,0.0,0
CA-Ca1,2001,245,True,,0.0,0,0.0,0,0.0,0
CA-Ca1,2002,245,True,,0.0,0,0.0,0,0.0,0
CA-Ca1,2003,245,True,,0.0,0,0.0,0,0.0,0
CA-Ca1,2004,245,True,,0.0,0,0.0,0,0.0,0
CA-Ca1,2005,245,True,,0.0,0,0.0,0,0.0,0
CA-Ca1,2006,245,True,,0.0,0,0.0,0,0.0,0
CA-Ca1,2007,245,True,,0.0,0,0.0,0,0.0,0
CA-Ca1,2008,245,True,,0.0,0,0.0,0,0.0,0
CA-Ca1,2009,245,True,,0.0,0,0.0,0,0.0,0
CA-Ca1,2010,245,True,,0.0,0,0.0,0,0.0,0
CA-Ca2,2000,245,True,,0.0,0,0.0,0,0.0,0
CA-Ca2,2001,245,True,,0.0,0,0.0,0,0.0,0
CA-Ca2,2002,245,True,,0.0,0,0.0,0,0.0,0
CA-Ca2,2003,245,True,,0.0,0,0.0,0,0.0,0
CA-Ca2,2004,245,True,,0.0,0,0.0,0,0.0,0
CA-Ca2,2005,245,True,,0.0,0,0.0,0,0.0,0
CA-Ca2,2006,245,True,,0.0,0,0.0,0,0.0,0
CA-Ca2,2007,245,True,,0.0,0,0.0,0,0.0,0
CA-Ca2,2008,245,True,,0.0,0,0.0,0,0.0,0
CA-Ca2,2009,245,True,,0.0,0,0.0,0,0.0,0
CA-Ca2,2010,245,True,,0.0,0,0.0,0,0.0,0
CA-Ca3,2001,245,False,GPP_NT_VUT_REF;NEE_VUT_REF;RECO_NT_VUT_REF,1.0,245,1.0,245,1.0,245
CA-Ca3,2002,245,False,GPP_NT_VUT_REF;NEE_VUT_REF;RECO_NT_VUT_REF,1.0,245,1.0,245,1.0,245
CA-Ca3,2003,245,False,GPP_NT_VUT_REF;NEE_VUT_REF;RECO_NT_VUT_REF,1.0,245,1.0,245,1.0,245
CA-Ca3,2004,245,False,GPP_NT_VUT_REF;NEE_VUT_REF;RECO_NT_VUT_REF,1.0,245,1.0,245,1.0,245
CA-Ca3,2005,245,False,GPP_NT_VUT_REF;NEE_VUT_REF;RECO_NT_VUT_REF,1.0,245,1.0,245,1.0,245
CA-Ca3,2006,245,False,GPP_NT_VUT_REF;NEE_VUT_REF;RECO_NT_VUT_REF,1.0,245,1.0,245,1.0,245
CA-Ca3,2007,245,False,GPP_NT_VUT_REF;NEE_VUT_REF;RECO_NT_VUT_REF,1.0,245,1.0,245,1.0,245
CA-Ca3,2008,245,False,GPP_NT_VUT_REF;NEE_VUT_REF;RECO_NT_VUT_REF,1.0,245,1.0,245,1.0,245
CA-Ca3,2009,245,False,GPP_NT_VUT_REF;NEE_VUT_REF;RECO_NT_VUT_REF,1.0,245,1.0,245,1.0,245
